##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
485	7	41	 4.00	26.64
486	7	42	 4.00	27.31
487	7	43	 4.00	27.97
488	7	44	 4.00	28.64
489	7	45	 4.00	29.30
490	7	46	 4.00	29.97
491	7	47	 4.00	30.64
492	7	48	 4.00	31.30
493	7	49	 4.00	31.97
494	7	50	 4.00	32.63
495	7	51	 4.00	33.30
496	7	52	 4.00	33.97
497	7	53	 4.00	34.63
498	7	54	 4.00	35.30
499	7	55	 4.00	35.96
500	7	56	 4.00	36.63
501	7	57	 4.00	37.30
502	7	58	 4.00	37.96
503	7	59	 4.00	38.63
504	7	60	 4.00	39.29
505	7	61	 4.00	39.96
506	7	62	 4.00	40.63
507	7	63	 4.00	41.29
508	7	64	 4.00	41.96
509	7	65	 4.00	42.62
510	7	66	 4.00	43.29
511	7	67	 4.00	43.96
512	7	68	 4.00	44.62
513	7	69	 4.00	45.29
514	7	70	 4.00	45.95
515	7	71	 4.00	46.62
516	7	72	 4.00	47.29
517	7	73	 4.00	47.95
518	7	74	 4.00	48.62
519	8	1	 4.66	 0.00
520	8	2	 4.66	 0.67
521	8	3	 4.66	 1.33
522	8	4	 4.66	 2.00
523	8	5	 4.66	 2.66
524	8	6	 4.66	 3.33
525	8	7	 4.66	 4.00
526	8	8	 4.66	 4.66
527	8	9	 4.66	 5.33
528	8	10	 4.66	 5.99
529	8	11	 4.66	 6.66
530	8	12	 4.66	 7.33
531	8	13	 4.66	 7.99
532	8	14	 4.66	 8.66
533	8	15	 4.66	 9.32
534	8	16	 4.66	 9.99
535	8	17	 4.66	10.66
536	8	18	 4.66	11.32
537	8	19	 4.66	11.99
538	8	20	 4.66	12.65
539	8	21	 4.66	13.32
540	8	22	 4.66	13.99
541	8	23	 4.66	14.65
542	8	24	 4.66	15.32
543	8	25	 4.66	15.98
544	8	26	 4.66	16.65
545	8	27	 4.66	17.32
546	8	28	 4.66	17.98
547	8	29	 4.66	18.65
548	8	30	 4.66	19.31
549	8	31	 4.66	19.98
550	8	32	 4.66	20.65
551	8	33	 4.66	21.31
552	8	34	 4.66	21.98
553	8	35	 4.66	22.64
554	8	36	 4.66	23.31
555	8	37	 4.66	23.98
556	8	38	 4.66	24.64
557	8	39	 4.66	25.31
558	8	40	 4.66	25.97
559	8	41	 4.66	26.64
560	8	42	 4.66	27.31
561	8	43	 4.66	27.97
562	8	44	 4.66	28.64
563	8	45	 4.66	29.30
564	8	46	 4.66	29.97
565	8	47	 4.66	30.64
566	8	48	 4.66	31.30
567	8	49	 4.66	31.97
568	8	50	 4.66	32.63
569	8	51	 4.66	33.30
570	8	52	 4.66	33.97
571	8	53	 4.66	34.63
572	8	54	 4.66	35.30
573	8	55	 4.66	35.96
574	8	56	 4.66	36.63
575	8	57	 4.66	37.30
576	8	58	 4.66	37.96
577	8	59	 4.66	38.63
578	8	60	 4.66	39.29
579	8	61	 4.66	39.96
580	8	62	 4.66	40.63
581	8	63	 4.66	41.29
582	8	64	 4.66	41.96
583	8	65	 4.66	42.62
584	8	66	 4.66	43.29
585	8	67	 4.66	43.96
586	8	68	 4.66	44.62
587	8	69	 4.66	45.29
588	8	70	 4.66	45.95
589	8	71	 4.66	46.62
590	8	72	 4.66	47.29
591	8	73	 4.66	47.95
592	8	74	 4.66	48.62
593	9	1	 5.33	 0.00
594	9	2	 5.33	 0.67
595	9	3	 5.33	 1.33
596	9	4	 5.33	 2.00
597	9	5	 5.33	 2.66
598	9	6	 5.33	 3.33
599	9	7	 5.33	 4.00
600	9	8	 5.33	 4.66
601	9	9	 5.33	 5.33
602	9	10	 5.33	 5.99
603	9	11	 5.33	 6.66
604	9	12	 5.33	 7.33
605	9	13	 5.33	 7.99
606	9	14	 5.33	 8.66
607	9	15	 5.33	 9.32
608	9	16	 5.33	 9.99
609	9	17	 5.33	10.66
610	9	18	 5.33	11.32
611	9	19	 5.33	11.99
612	9	20	 5.33	12.65
613	9	21	 5.33	13.32
614	9	22	 5.33	13.99
615	9	23	 5.33	14.65
616	9	24	 5.33	15.32
617	9	25	 5.33	15.98
618	9	26	 5.33	16.65
619	9	27	 5.33	17.32
620	9	28	 5.33	17.98
621	9	29	 5.33	18.65
622	9	30	 5.33	19.31
623	9	31	 5.33	19.98
624	9	32	 5.33	20.65
625	9	33	 5.33	21.31
626	9	34	 5.33	21.98
627	9	35	 5.33	22.64
628	9	36	 5.33	23.31
629	9	37	 5.33	23.98
630	9	38	 5.33	24.64
631	9	39	 5.33	25.31
632	9	40	 5.33	25.97
633	9	41	 5.33	26.64
634	9	42	 5.33	27.31
635	9	43	 5.33	27.97
636	9	44	 5.33	28.64
637	9	45	 5.33	29.30
638	9	46	 5.33	29.97
639	9	47	 5.33	30.64
640	9	48	 5.33	31.30
641	9	49	 5.33	31.97
642	9	50	 5.33	32.63
643	9	51	 5.33	33.30
644	9	52	 5.33	33.97
